@relation Streaming

@attribute Acao {t,f}
@attribute FiccaoCientifica {t,f}
@attribute Romance {t,f}
@attribute Comedia {t,f}
@attribute Suspense {t,f}
@attribute Terror {t,f}
@attribute Drama {t,f}
@attribute Aventura {t,f}
@attribute Documentario {t,f}
@attribute Animacao {t,f}

@data
?,?,t,t,?,?,t,?,?,?
t,t,t,?,?,?,?,t,?,?
t,t,?,?,?,?,?,?,?,?
?,?,?,?,t,t,?,?,?,?
?,?,?,?,t,t,t,?,?,?
?,?,t,t,?,?,t,?,?,?
t,t,?,?,?,?,?,t,?,t
t,t,?,?,t,?,?,t,?,?
?,?,t,t,?,?,t,?,?,?
?,t,?,?,?,?,?,t,t,?
?,?,t,t,?,?,t,?,?,?
?,?,t,?,t,t,t,?,?,?
?,?,t,t,?,?,t,?,?,?
t,t,?,?,?,t,?,t,t,?
?,t,?,?,?,?,?,t,?,t
?,?,t,t,?,?,?,?,?,?
?,t,t,t,?,?,t,t,?,t
t,t,?,?,?,?,?,t,?,?
t,t,?,?,?,?,?,t,t,?
?,?,t,t,?,?,t,?,?,?
?,?,t,t,?,?,?,?,t,?
?,?,?,?,t,t,t,?,t,?
?,?,?,?,t,?,t,t,?,?
t,t,?,t,t,?,?,t,?,t
?,?,t,t,?,?,?,?,?,t
t,t,?,?,?,?,?,t,?,?
?,t,t,t,?,?,?,?,?,?
t,t,?,?,t,?,?,t,?,?
?,?,t,t,?,?,?,?,?,?
t,t,?,?,?,?,?,t,t,?
?,?,?,?,t,t,t,?,?,?
t,t,?,t,?,?,?,t,?,?
t,?,?,t,?,t,?,?,?,?
?,t,t,t,?,?,?,?,t,?
?,?,?,?,t,t,t,?,?,?
t,t,t,?,t,?,?,?,?,?
?,?,t,t,?,?,?,?,?,?
?,?,t,t,?,?,?,?,?,t
?,?,?,t,?,t,?,?,t,?
?,?,t,t,?,?,?,?,?,?
?,?,t,t,?,?,t,?,?,?
?,?,?,?,t,t,?,?,?,?
?,?,t,t,t,?,?,?,?,t
?,?,?,?,t,t,?,?,?,?
?,?,?,?,t,t,t,?,?,?
?,?,t,t,?,?,?,?,?,?
?,?,t,t,?,?,t,?,?,?
t,t,?,?,?,?,?,t,?,?
t,t,?,?,?,?,?,t,?,t
?,?,?,?,t,t,?,?,?,?
?,?,?,?,t,t,?,?,?,?
t,?,?,?,?,?,?,?,t,t
t,t,?,?,?,?,?,t,?,?
?,?,?,?,t,t,t,t,t,?
?,?,?,?,t,t,?,?,?,?
?,t,t,t,t,?,?,?,?,?
t,t,?,?,?,?,?,t,?,?
t,t,?,?,?,?,?,t,?,?
?,?,?,?,t,t,?,?,?,?
?,?,?,?,t,t,t,?,?,?
?,?,t,t,?,?,t,?,?,?
t,t,?,?,?,?,?,t,?,?
?,?,?,?,t,t,t,?,?,?
?,?,?,?,t,t,t,?,?,?
?,?,?,?,t,t,t,?,?,?
t,t,t,?,t,?,?,t,?,?
t,t,?,?,?,?,?,t,?,?
?,?,t,?,t,t,?,?,?,?
?,?,?,?,t,t,?,?,?,?
?,?,t,t,?,?,?,?,?,?
t,t,?,?,?,?,?,t,?,?
?,?,?,?,t,t,?,?,?,?
t,t,?,?,?,?,?,t,?,?
t,?,t,t,?,?,t,?,?,?
?,?,t,t,?,t,?,?,?,?
t,t,?,?,?,?,?,t,?,?
?,?,?,?,t,t,t,?,?,?
?,?,t,t,?,?,?,?,?,?
?,?,?,?,t,t,t,?,?,?
t,t,?,?,?,?,?,t,?,?
?,?,t,t,?,?,?,?,?,?
?,?,t,t,?,?,?,?,?,?
t,t,?,?,?,?,?,t,?,?
t,t,?,?,?,t,?,t,?,?
?,?,t,t,?,t,?,?,?,?
?,?,t,t,?,?,?,?,?,?
?,?,?,?,t,t,?,?,?,?
t,t,?,?,?,?,?,t,?,?
?,t,t,t,?,?,?,?,?,?
?,?,?,?,t,t,t,?,?,?
t,t,?,?,t,?,?,t,?,?
?,?,t,t,?,?,?,?,?,?
?,?,t,t,?,?,?,?,?,t
?,?,t,t,?,?,t,?,?,?
?,?,?,?,t,t,?,?,?,?
?,?,?,?,t,t,t,?,?,?
?,?,t,?,t,?,?,t,?,?
t,t,?,?,?,?,?,t,?,?
?,?,t,t,?,?,?,?,?,?
t,t,?,?,?,?,?,t,t,t
